Word,month,frequency,year
Rail Transit,3,7,2023
Information Technology,4,5,2023
Agricultural Machinery,4,1,2023
New Materials,4,4,2023
New Energy Vehicles,4,16,2023
Robotics,4,5,2023
Ocean Engineering,4,0,2023
Biopharmaceuticals,4,3,2023
Electric Power,4,8,2023
Aerospace,4,17,2023
Rail Transit,4,1,2023
Information Technology,5,2,2023
Agricultural Machinery,5,1,2023
New Materials,5,4,2023
New Energy Vehicles,5,11,2023
Robotics,5,3,2023
Ocean Engineering,5,0,2023
Biopharmaceuticals,5,4,2023
Electric Power,5,9,2023
Aerospace,5,20,2023
Rail Transit,5,0,2023
Information Technology,6,5,2023
Agricultural Machinery,6,1,2023
New Materials,6,1,2023
New Energy Vehicles,6,8,2023
Robotics,6,3,2023
Ocean Engineering,6,0,2023
Biopharmaceuticals,6,1,2023
Electric Power,6,12,2023
Aerospace,6,13,2023
Rail Transit,6,1,2023
Information Technology,7,6,2023
Agricultural Machinery,7,1,2023
New Materials,7,10,2023
New Energy Vehicles,7,14,2023
Robotics,7,0,2023
Ocean Engineering,7,0,2023
Biopharmaceuticals,7,3,2023
Electric Power,7,22,2023
Aerospace,7,17,2023
Rail Transit,7,2,2023
Information Technology,8,5,2023
Agricultural Machinery,8,1,2023
New Materials,8,7,2023
New Energy Vehicles,8,15,2023
Robotics,8,6,2023
Ocean Engineering,8,0,2023
Biopharmaceuticals,8,3,2023
Electric Power,8,30,2023
Aerospace,8,4,2023
Rail Transit,8,0,2023
Information Technology,9,6,2023
Agricultural Machinery,9,2,2023
New Materials,9,5,2023
New Energy Vehicles,9,9,2023
Robotics,9,3,2023
Ocean Engineering,9,0,2023
Biopharmaceuticals,9,4,2023
Electric Power,9,8,2023
Aerospace,9,11,2023
Rail Transit,9,2,2023
Information Technology,10,2,2023
Agricultural Machinery,10,1,2023
New Materials,10,4,2023
New Energy Vehicles,10,8,2023
Robotics,10,1,2023
Ocean Engineering,10,0,2023
Biopharmaceuticals,10,3,2023
Electric Power,10,9,2023
Aerospace,10,10,2023
Rail Transit,10,1,2023
Information Technology,11,6,2023
Agricultural Machinery,11,1,2023
New Materials,11,6,2023
New Energy Vehicles,11,12,2023
Robotics,11,4,2023
Ocean Engineering,11,0,2023
Biopharmaceuticals,11,3,2023
Electric Power,11,17,2023
Aerospace,11,9,2023
Rail Transit,11,0,2023
Information Technology,12,0,2023
Agricultural Machinery,12,0,2023
New Materials,12,6,2023
New Energy Vehicles,12,8,2023
Robotics,12,4,2023
Ocean Engineering,12,0,2023
Biopharmaceuticals,12,4,2023
Electric Power,12,9,2023
Aerospace,12,9,2023
Rail Transit,12,2,2023
