Word,month,frequency,year
生物医药,12,1,2016
电力,12,5,2016
航天,12,11,2016
轨道交通,12,3,2016
信息技术,1,0,2017
农业机械,1,0,2017
新材料,1,0,2017
新能源汽车,1,0,2017
机器人,1,4,2017
海洋工程,1,0,2017
生物医药,1,1,2017
电力,1,5,2017
航天,1,6,2017
轨道交通,1,2,2017
信息技术,2,1,2017
农业机械,2,1,2017
新材料,2,1,2017
新能源汽车,2,1,2017
机器人,2,6,2017
海洋工程,2,1,2017
生物医药,2,0,2017
电力,2,6,2017
航天,2,11,2017
轨道交通,2,1,2017
信息技术,3,2,2017
农业机械,3,0,2017
新材料,3,0,2017
新能源汽车,3,2,2017
机器人,3,3,2017
海洋工程,3,0,2017
生物医药,3,4,2017
电力,3,10,2017
航天,3,6,2017
轨道交通,3,0,2017
信息技术,4,3,2017
农业机械,4,0,2017
新材料,4,1,2017
新能源汽车,4,2,2017
机器人,4,2,2017
海洋工程,4,1,2017
生物医药,4,2,2017
电力,4,14,2017
航天,4,14,2017
轨道交通,4,3,2017
信息技术,5,0,2017
农业机械,5,0,2017
新材料,5,3,2017
新能源汽车,5,0,2017
机器人,5,2,2017
海洋工程,5,0,2017
生物医药,5,1,2017
电力,5,13,2017
航天,5,8,2017
轨道交通,5,1,2017
信息技术,6,1,2017
农业机械,6,0,2017
新材料,6,2,2017
新能源汽车,6,3,2017
机器人,6,2,2017
海洋工程,6,1,2017
生物医药,6,1,2017
电力,6,7,2017
航天,6,12,2017
轨道交通,6,6,2017
信息技术,7,1,2017
农业机械,7,0,2017
新材料,7,0,2017
新能源汽车,7,1,2017
机器人,7,5,2017
海洋工程,7,0,2017
生物医药,7,1,2017
电力,7,17,2017
航天,7,8,2017
轨道交通,7,1,2017
信息技术,8,0,2017
农业机械,8,0,2017
新材料,8,0,2017
新能源汽车,8,3,2017
机器人,8,4,2017
海洋工程,8,1,2017
生物医药,8,0,2017
电力,8,11,2017
航天,8,8,2017
轨道交通,8,2,2017
信息技术,9,2,2017
农业机械,9,1,2017
新材料,9,2,2017
新能源汽车,9,0,2017
机器人,9,4,2017
海洋工程,9,1,2017
生物医药,9,0,2017
电力,9,17,2017
航天,9,6,2017
轨道交通,9,1,2017
信息技术,10,0,2017
农业机械,10,0,2017
新材料,10,0,2017
新能源汽车,10,2,2017
机器人,10,2,2017
海洋工程,10,0,2017
生物医药,10,0,2017
电力,10,3,2017
航天,10,7,2017
轨道交通,10,2,2017
信息技术,11,3,2017
农业机械,11,1,2017
新材料,11,1,2017
新能源汽车,11,3,2017
机器人,11,2,2017
海洋工程,11,0,2017
生物医药,11,0,2017
电力,11,12,2017
航天,11,8,2017
轨道交通,11,0,2017
信息技术,12,5,2017
农业机械,12,0,2017
新材料,12,1,2017
新能源汽车,12,1,2017
机器人,12,5,2017
海洋工程,12,0,2017
生物医药,12,1,2017
电力,12,11,2017
航天,12,4,2017
轨道交通,12,1,2017
信息技术,1,3,2018
农业机械,1,1,2018
新材料,1,1,2018
新能源汽车,1,3,2018
机器人,1,2,2018
海洋工程,1,0,2018
生物医药,1,2,2018
电力,1,14,2018
航天,1,13,2018
轨道交通,1,2,2018
信息技术,2,2,2018
农业机械,2,0,2018
新材料,2,3,2018
新能源汽车,2,0,2018
机器人,2,1,2018
海洋工程,2,0,2018
生物医药,2,0,2018
电力,2,3,2018
航天,2,7,2018
轨道交通,2,0,2018
信息技术,3,5,2018
农业机械,3,0,2018
新材料,3,4,2018
新能源汽车,3,2,2018
机器人,3,2,2018
海洋工程,3,0,2018
生物医药,3,2,2018
电力,3,5,2018
航天,3,9,2018
轨道交通,3,1,2018
信息技术,4,6,2018
农业机械,4,0,2018
新材料,4,1,2018
新能源汽车,4,1,2018
机器人,4,4,2018
海洋工程,4,0,2018
生物医药,4,2,2018
电力,4,8,2018
航天,4,7,2018
轨道交通,4,1,2018
信息技术,5,4,2018
农业机械,5,0,2018
新材料,5,3,2018
新能源汽车,5,4,2018
机器人,5,3,2018
海洋工程,5,1,2018
生物医药,5,1,2018
电力,5,12,2018
航天,5,9,2018
轨道交通,5,1,2018
信息技术,6,2,2018
农业机械,6,0,2018
新材料,6,1,2018
